,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1978,,,,,,,,,,,8.98,10.85
1979,12.35,13.14,13.16,12.46,11.06,9.29,6.61,4.97,4.54,6.13,8.29,10.57
1980,11.88,12.85,12.94,12.46,10.89,8.95,6.46,4.85,4.83,6.43,8.65,10.72
1981,11.85,12.48,12.65,12.18,10.93,8.98,6.24,4.38,4.38,3.2,8.25,10.48
1982,12.13,12.81,13.01,12.56,11.11,9.42,6.81,4.34,4.38,3.31,8.99,10.82
1983,11.94,12.88,12.86,12.13,10.8,9.21,6.81,4.89,4.64,3.72,8.92,10.57
1984,11.62,12.2,12.5,12.12,10.82,9.03,6.21,4.61,4.04,5.85,8.16,10.2
1985,11.64,12.42,12.68,12.48,11.2,8.9,5.91,4.52,4.18,6.05,8.36,10.17
1986,11.82,12.56,12.67,11.97,10.63,8.94,6.55,4.93,4.67,6.79,8.82,10.48
1987,11.84,12.97,12.78,12.29,10.92,9.34,6.49,5.35,5.61,7.46,9.69,
1988,,13.52,13.87,13.13,11.37,9.65,6.95,5.37,5.32,7.49,9.87,11.96
1989,13.14,13.31,13.17,12.29,11.31,9.92,7.27,5.51,4.83,6.92,8.4,11.56
1990,12.76,13.37,13.46,12.19,10.86,9.15,6.47,4.93,4.51,6.7,9.6,11.42
1991,12.53,13.18,13.38,12.81,11.45,9.62,6.69,5.15,4.47,6.72,9.2,11.14
1992,12.57,13.54,13.44,12.78,11.38,9.91,7.18,5.37,5.38,7.71,9.71,11.68
1993,12.89,13.58,13.74,12.98,11.37,9.23,6.2,4.68,4.53,7.01,9.5,11.43
1994,12.84,13.49,13.51,12.87,11.62,9.64,6.87,5.12,5.09,7.19,9.65,11.45
1995,12.75,13.33,13.3,12.35,10.87,8.91,6.08,4.63,4.39,5.93,8.97,11.05
1996,12.11,12.94,12.87,12.26,11.24,9.8,7.39,5.68,5.6,7.51,8.71,10.99
1997,12.35,13.4,13.27,12.51,11.19,9.16,6.43,5.04,4.85,6.41,9.01,10.92
1998,12.76,13.73,13.53,12.79,11.37,9.14,6.4,4.63,4.26,6.66,8.83,10.51
1999,12.57,13.42,13.5,13.11,11.63,9.21,6.51,4.69,4.24,6.79,9.22,10.95
2000,12.26,13.05,13.13,12.54,11.19,9.02,6.33,4.73,4.32,6.66,8.82,10.92
2001,12.31,13.18,13.61,13.01,11.34,9.04,6.24,4.89,4.56,6.6,9.03,10.51
2002,12.22,13.39,13.39,12.37,11.13,9.16,6.37,4.25,3.99,6.21,8.7,10.6
2003,12.25,13.19,13.39,12.41,10.84,9.07,6.09,4.46,4.02,5.95,8.51,10.76
2004,12.22,12.9,12.96,12.11,10.87,9.21,6.45,4.58,4.36,6.36,8.9,10.93
2005,11.87,12.31,12.7,12.19,10.84,8.77,5.84,4.15,4.04,5.73,8.74,10.53
2006,11.61,12.31,12.57,11.99,10.4,8.36,5.73,4.25,3.98,5.75,8.08,10.12
2007,11.82,12.55,12.52,11.78,10.73,8.18,5.05,3.12,2.79,4.23,8.01,10.13
2008,12.24,13.17,13.5,12.72,11.21,8.8,6,3.7,3.22,5.72,9,10.92
2009,12.27,13.17,13.38,12.87,11.43,9.21,6.04,4.1,3.72,5.16,8.3,10.54
2010,11.99,12.92,13.49,12.8,10.83,8.3,5.52,3.83,3.29,5.44,8.39,10.37
2011,11.78,12.71,12.78,12.4,10.69,8.48,5.3,3.3,3.18,4.92,8.45,10.57
2012,12.17,12.67,13.37,12.82,11.01,8.07,5.02,2.82,2.37,4.53,8,10.39
2013,11.98,13.15,13.41,12.69,11.21,8.9,5.73,4.11,3.75,5.9,8.6,10.83
2014,12.05,12.51,12.91,12.38,11,8.71,5.89,4.3,3.7,5.62,8.7,10.85
2015,12.12,12.81,12.73,12.29,10.85,8.66,5.58,3.55,3.37,5.43,8.43,10.59
2016,11.68,12.29,12.48,11.89,10.14,8.09,5.24,3.21,,,,